id,lng,lat,name,cityname,province,count
133,114.25728,30.611976,Wuhan Library24小时自助图书馆,武汉市,湖北省,1
134,114.300316,30.598348,浪丘英语图书馆,武汉市,湖北省,1
135,114.415185,30.5415,德善公益图书馆大李村书屋,武汉市,湖北省,1
136,114.456588,30.579928,武汉市青少年儿童图书馆武东分馆,武汉市,湖北省,1
137,114.26799,30.55966,江汉桥社区图书阅览室,武汉市,湖北省,1
138,114.316982,30.415216,汉口学院-图书馆,武汉市,湖北省,1
139,114.308835,30.486291,武昌首义学院南区图书馆,武汉市,湖北省,1
140,114.226634,30.599617,发展社区-图书馆,武汉市,湖北省,1
141,114.24595,30.628489,全英图书馆,武汉市,湖北省,1
142,114.264952,30.570691,硚口区城市管理(执法)局离退休干部党支部阅览室,武汉市,湖北省,1
143,114.338366,30.377402,武汉纺织大学阳光校区图书馆,武汉市,湖北省,1
144,114.300936,30.607654,解放公园-24小时自助图书馆,武汉市,湖北省,1
145,114.419554,30.701222,眼镜图书馆,武汉市,湖北省,1
146,114.324087,30.357122,江夏区青少年读书馆(新华书店分店),武汉市,湖北省,1
147,114.200532,30.59498,24小时自助图书馆(解放大道),武汉市,湖北省,1
148,114.153244,30.489539,24小时自助图书馆(联城路),武汉市,湖北省,1
149,114.461106,30.436226,武汉商贸职业学院图书馆,武汉市,湖北省,1
150,114.365014,30.620114,图书馆,武汉市,湖北省,1
151,114.41619,30.696431,中国梦图书馆,武汉市,湖北省,1
152,114.139381,30.62539,武汉市东西湖区图书馆,武汉市,湖北省,1
153,114.398885,30.48606,图书馆信息服务中心,武汉市,湖北省,1
154,114.379489,30.4745,中南财经政法大学南湖校区图书阅览中心,武汉市,湖北省,1
155,114.417375,30.392372,湖北美术学院藏龙岛校区图书馆,武汉市,湖北省,1
156,114.254779,30.572884,悠贝亲子图书馆,武汉市,湖北省,1
157,114.388142,30.474631,中南财经政法大学南湖校区法学图书馆,武汉市,湖北省,1
158,114.314775,30.347088,江夏区图书馆,武汉市,湖北省,1
159,114.191652,30.460311,(汉南区)文化馆图书馆沌口街分馆,武汉市,湖北省,1
160,114.153026,30.4896,沌阳街文体事业服务中心图书阅览室,武汉市,湖北省,1
161,114.268674,30.601284,江汉区图书馆金桥书院(暂停营业),武汉市,湖北省,1
162,114.424021,30.703096,文体图书馆,武汉市,湖北省,1
163,114.150724,30.628949,24小时自助图书馆,武汉市,湖北省,1
164,114.171949,30.661641,诺丁图书阅读室,武汉市,湖北省,1
165,114.390561,30.471591,红色中南党史阅览室,武汉市,湖北省,1
166,114.035953,30.576905,武汉市蔡甸区图书馆,武汉市,湖北省,1
167,114.159257,30.512648,江汉大学法学院资料室阅览室,武汉市,湖北省,1
168,114.087571,30.462508,武汉商学院北区图书馆,武汉市,湖北省,1
169,114.527889,30.713001,武汉生物工程学院图书馆,武汉市,湖北省,1
170,114.375325,30.628925,Inco.英语图书馆,武汉市,湖北省,1
171,114.370334,30.870181,黄陂图书馆,武汉市,湖北省,1
172,114.406083,30.371385,湖北水利水电职业技术学院-图书馆,武汉市,湖北省,1
173,114.314702,30.351562,24小时自助图书馆(熊廷弼街),武汉市,湖北省,1
174,114.139415,30.625359,东西湖区总工会职工阅览中心,武汉市,湖北省,1
