id,lng,lat,name,cityname,province,count
121,114.345907,30.461129,湖北生物科技职业学院南湖校区图书馆,武汉市,湖北省,1
122,114.411889,30.512010,华中科技大学图书馆(老馆),武汉市,湖北省,1
123,114.366238,30.524329,武汉电力职业技术学院图书馆,武汉市,湖北省,1
124,114.406142,30.474185,24小时自助图书馆(软件园东路),武汉市,湖北省,1
125,114.359738,30.593289,书小鱼·共享图书馆(保利馆),武汉市,湖北省,1
126,114.392317,30.487934,中南民族大学北书院,武汉市,湖北省,1
127,114.399082,30.485908,武汉纺织大学图书馆,武汉市,湖北省,1
128,114.413354,30.484544,武汉职业技术学院东区图书馆,武汉市,湖北省,1
129,114.270667,30.448068,湖北中医药大学黄家湖校区图书馆,武汉市,湖北省,1
130,114.327542,30.504204,24小时自助图书馆,武汉市,湖北省,1
131,114.377858,30.500553,湖北商贸学院图书馆,武汉市,湖北省,1
132,114.370623,30.511923,24小时自助图书馆,武汉市,湖北省,1
133,114.372601,30.508816,湖北交通职业技术学院图书馆,武汉市,湖北省,1
134,114.308341,30.488456,武昌首义学院图书馆中区分馆,武汉市,湖北省,1
135,114.308698,30.485952,武昌首义学院图书馆南区分馆,武汉市,湖北省,1
136,114.266933,30.437754,武汉科技大学图书馆(黄家湖西路),武汉市,湖北省,1
137,114.322257,30.476375,武汉城市职业学院北校区-图书馆,武汉市,湖北省,1
138,114.265617,30.428837,武汉交通职业学院图书馆,武汉市,湖北省,1
139,114.344007,30.512915,武汉理工大学鉴湖校区图书馆信息分馆,武汉市,湖北省,1
140,114.345511,30.521651,湖北轻工职业技术学院图书馆,武汉市,湖北省,1
141,114.356519,30.525407,东境声音图书馆,武汉市,湖北省,1
142,114.415185,30.541500,德善公益图书馆大李村书屋,武汉市,湖北省,1
143,114.476467,30.481592,24小时自助图书馆(二妃山庄前厅部西南),武汉市,湖北省,1
144,114.391924,30.529708,中国数字图书馆,武汉市,湖北省,1
145,114.308835,30.486291,武昌首义学院南区图书馆,武汉市,湖北省,1
146,114.618256,30.456304,中国地质大学未来城校区图书馆,武汉市,湖北省,1
147,114.398885,30.486060,图书馆信息服务中心,武汉市,湖北省,1
148,114.255704,30.649501,将军路文化广场图书馆,武汉市,湖北省,1
149,114.235393,30.637623,武汉轻工大学图书馆,武汉市,湖北省,1
150,114.193156,30.628698,悠贝亲子图书馆,武汉市,湖北省,1
151,114.222509,30.652311,武汉轻工大学金银湖校区图书馆,武汉市,湖北省,1
152,114.139381,30.62539,武汉市东西湖区图书馆,武汉市,湖北省,1
153,114.171949,30.661641,诺丁图书阅读室,武汉市,湖北省,1
154,114.150724,30.628949,24小时自助图书馆,武汉市,湖北省,1
155,114.139415,30.625359,东西湖区总工会职工阅览中心,武汉市,湖北省,1
156,114.139567,30.625302,湖北作家文献中心,武汉市,湖北省,1
157,114.244914,30.647235,武汉市常青树实验学校图书馆,武汉市,湖北省,1
158,114.132638,30.624393,武汉图书馆24小时自助图书馆(六顺路),武汉市,湖北省,1
159,114.136971,30.675372,网安学院图书馆,武汉市,湖北省,1
160,114.128230,30.625178,武汉警官职业学院(东西湖校区)-图书馆,武汉市,湖北省,1
161,114.085243,30.31216,武汉市汉南区图书馆,武汉市,湖北省,1
162,114.086591,30.315518,24小时自助图书馆,武汉市,湖北省,1
163,114.092892,30.352698,24小时自助图书馆,武汉市,湖北省,1
164,114.084452,30.306059,武汉经济技术开发区(汉南区)文化馆图书馆纱帽街分馆,武汉市,湖北省,1
165,114.076585,30.313434,武汉市汉南区纱帽中学图书馆,武汉市,湖北省,1
166,113.821633,30.219703,汉南农场螃蟹养殖协会阅览室,武汉市,湖北省,1
167,114.158517,30.514117,江汉大学-图书馆,武汉市,湖北省,1
168,114.162653,30.468622,汤湖图书馆,武汉市,湖北省,1
169,114.162542,30.504865,悠贝亲子图书馆(经开文汐素质成长中心),武汉市,湖北省,1
170,114.153244,30.489539,24小时自助图书馆(联城路),武汉市,湖北省,1
